expiry,instrument_key,trading_symbol,strike,option_type,lot_size,tick_size,underlying_key,weekly
2026-08-11,NSE_FO|41050|11-08-2026,NIFTY 25300 PE 11 AUG 26,25300.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41051|11-08-2026,NIFTY 25350 CE 11 AUG 26,25350.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41052|11-08-2026,NIFTY 25350 PE 11 AUG 26,25350.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41053|11-08-2026,NIFTY 25400 CE 11 AUG 26,25400.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41054|11-08-2026,NIFTY 25400 PE 11 AUG 26,25400.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41055|11-08-2026,NIFTY 25450 CE 11 AUG 26,25450.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41056|11-08-2026,NIFTY 25450 PE 11 AUG 26,25450.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41057|11-08-2026,NIFTY 25500 CE 11 AUG 26,25500.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41058|11-08-2026,NIFTY 25500 PE 11 AUG 26,25500.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41059|11-08-2026,NIFTY 25550 CE 11 AUG 26,25550.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41060|11-08-2026,NIFTY 25550 PE 11 AUG 26,25550.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41061|11-08-2026,NIFTY 25600 CE 11 AUG 26,25600.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41062|11-08-2026,NIFTY 25600 PE 11 AUG 26,25600.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41063|11-08-2026,NIFTY 25650 CE 11 AUG 26,25650.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41064|11-08-2026,NIFTY 25650 PE 11 AUG 26,25650.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41065|11-08-2026,NIFTY 25700 CE 11 AUG 26,25700.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41068|11-08-2026,NIFTY 25700 PE 11 AUG 26,25700.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41069|11-08-2026,NIFTY 25750 CE 11 AUG 26,25750.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41070|11-08-2026,NIFTY 25750 PE 11 AUG 26,25750.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41071|11-08-2026,NIFTY 25800 CE 11 AUG 26,25800.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41072|11-08-2026,NIFTY 25800 PE 11 AUG 26,25800.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41073|11-08-2026,NIFTY 25850 CE 11 AUG 26,25850.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
